"Task ID","Task Name","Parent Task ID","Group","Deliverable Type","Start Date","Due Date","Duration (days)","Owner","Status","Priority","Dependencies","Notes"
"TASK001","Draft timeline v1 (for Tuesday review)","","PROPOSAL","Planning Document","2025-08-29","2025-08-31","2","Aaron","In Progress","High","","Requested by Andy; bring printed + digital to Tue meeting:contentReference[oaicite:0]{index=0}"
"TASK002","Initial proposal skeleton (Specific Aims & outline)","","PROPOSAL","Proposal Draft","2025-08-29","2025-08-31","2","Aaron","Planned","High","","1-page Specific Aims + detailed outline per BME format:contentReference[oaicite:1]{index=1}"
"TASK003","Milestone: Submit proposal outline to advisor","","PROPOSAL","Milestone","2025-08-31","2025-08-31","0","Aaron","Planned","High","TASK002","Target to send initial draft to advisor before Monday:contentReference[oaicite:2]{index=2}"
"TASK004","Strict carprofen schedule – SOP review & backups","","ACCOUNTABILITY","Animal Care Protocol","2025-08-29","2025-08-30","2","Aaron","Planned","High","","Establish post-op analgesia schedule; assign backups for off-campus days:contentReference[oaicite:3]{index=3}"
"TASK005","Rig log & Slack updates after any optical change","","ACCOUNTABILITY","Safety Protocol","2025-08-29","2025-12-19","112","Aaron","Planned","Medium","","Log alignment changes & broadcast to lab for transparency:contentReference[oaicite:4]{index=4}"
"TASK006","Weekly 1:1 with advisor (Tues 3:30pm) – Fall 2025","","ACCOUNTABILITY","Meeting","2025-09-02","2025-12-16","105","Aaron","Planned","Medium","","Block weekly meeting; report progress each week:contentReference[oaicite:5]{index=5}"
"TASK007","Milestone: 1:1 meeting to review timeline","","ACCOUNTABILITY","Meeting","2025-09-02","2025-09-02","0","Aaron","Planned","Medium","TASK001","First weekly meeting focused on reviewing proposed timeline:contentReference[oaicite:6]{index=6}"
"TASK008","Define proposal committee & confirm availability","","PROPOSAL","Committee Formation","2025-09-02","2025-09-05","4","Aaron","Planned","High","","Identify committee members and schedule oral exam date (reserve room):contentReference[oaicite:7]{index=7}"
"TASK009","Proposal outline → full draft (12-page Research Strategy)","","PROPOSAL","Proposal Draft","2025-09-01","2025-09-12","12","Aaron","Planned","High","TASK002","Expand outline into ~12-page proposal draft per BME guidelines:contentReference[oaicite:8]{index=8}"
"TASK010","Milestone: Proposal exam date confirmed","","PROPOSAL","Committee Milestone","2025-09-12","2025-09-12","0","Aaron","Planned","High","TASK008","Oral exam scheduled; must send proposal ≥2 weeks prior:contentReference[oaicite:9]{index=9}"
"TASK011","Seed laser alignment to ≥30 mW (pre-pump)","","LASER","Laser Alignment","2025-08-30","2025-09-03","5","Aaron","Planned","Medium","","Align seed laser to achieve ≥30 mW in fiber core:contentReference[oaicite:10]{index=10}"
"TASK012","Amplifier alignment to ≥130 mW output","","LASER","Laser Alignment","2025-09-03","2025-09-10","8","Aaron","Planned","Medium","TASK011","Restore amplified output to ~130 mW (previous benchmark):contentReference[oaicite:11]{index=11}"
"TASK013","Pulse compression check (≤200 fs pulses)","","LASER","Laser Alignment","2025-09-08","2025-09-12","5","Aaron","Planned","Medium","TASK012","Compress pulses to prior specs; record pulse duration in log:contentReference[oaicite:12]{index=12}"
"TASK014","Calibrate microscope with USAF target","","LASER","Laser Alignment","2025-09-10","2025-09-12","3","Aaron","Planned","Medium","TASK013","Align imaging system for optimal resolution before in vivo tests:contentReference[oaicite:13]{index=13}"
"TASK015","Milestone: Laser system ready for in vivo imaging","","LASER","Milestone","2025-09-12","2025-09-12","0","Aaron","Planned","High","TASK014","Laser output and imaging optics meet requirements for live imaging:contentReference[oaicite:14]{index=14}"
"TASK016","Plan imaging cohort (≈3 pilot mice) + IACUC approvals","","IMAGING","Experiment Planning","2025-09-01","2025-09-05","5","Aaron","Planned","Medium","","Plan initial in vivo imaging trial; confirm IACUC protocol and book surgery slots:contentReference[oaicite:15]{index=15}"
"TASK017","Admin: Annual progress review (department form) 2025","","ADMIN","Progress Review Form","2025-09-01","2025-09-07","7","Aaron","Planned","High","","Yearly graduate student progress report due early September:contentReference[oaicite:16]{index=16}"
"TASK018","Admin: Proposal exam paperwork (room booking, forms, POW)","","ADMIN","Administrative Task","2025-09-12","2025-10-15","34","Aaron","Planned","High","TASK010","File committee form and Program of Work; confirm exam room logistics:contentReference[oaicite:17]{index=17}"
"TASK019","Take ownership of microscope (SOPs & training plan)","","ACCOUNTABILITY","Training Plan","2025-09-05","2025-09-19","15","Aaron","Planned","Medium","","Develop standard operating procedures and onboarding for microscope use:contentReference[oaicite:18]{index=18}"
"TASK020","SPIE 2025 Annual Report & 2026 Grant Application","","ADMIN","Grant Application","2025-08-30","2025-12-01","93","Aaron","Planned","High","","SPIE student chapter annual report and next-year funding request (due Dec 1):contentReference[oaicite:19]{index=19}:contentReference[oaicite:20]{index=20}"
"TASK021","Review SPIE chapter requirements & timeline","TASK020","ADMIN","Preparation","2025-08-30","2025-09-05","7","Aaron","Planned","Medium","","Confirm report & grant deadlines (target ~Oct 1 soft, Dec 1 hard):contentReference[oaicite:21]{index=21}:contentReference[oaicite:22]{index=22}"
"TASK022","Gather chapter activity data and documentation (2025)","TASK020","ADMIN","Documentation","2025-09-01","2025-09-20","20","Aaron","Planned","Medium","","Collect events, member lists, expenses, and outreach details for report:contentReference[oaicite:23]{index=23}:contentReference[oaicite:24]{index=24}"
"TASK023","Draft SPIE Annual Report + 2026 Grant proposal","TASK020","ADMIN","Report Draft","2025-09-20","2025-10-15","26","Aaron","Planned","Medium","","Write annual report (activities, outcomes) & proposal for next year's funding:contentReference[oaicite:25]{index=25}:contentReference[oaicite:26]{index=26}"
"TASK024","Advisor review of SPIE report draft","TASK020","ADMIN","Review Meeting","2025-10-16","2025-10-20","5","Aaron","Planned","Medium","","Have faculty advisor review draft and provide feedback before submission:contentReference[oaicite:27]{index=27}"
"TASK025","Submit SPIE Annual Report & Grant Application (2025 deadline)","TASK020","ADMIN","Submission Deadline","2025-11-15","2025-12-01","16","Aaron","Planned","High","TASK024","Submit final report and funding request via SPIE portal by Dec 1, 2025:contentReference[oaicite:28]{index=28}:contentReference[oaicite:29]{index=29}"
"TASK026","Design & order AAV-mScarlet & jRGECO1b vectors (vascular & neuronal labels)","","IMAGING","AAV Production","2025-10-01","2025-10-15","15","Aaron","Planned","High","","Finalize constructs and submit production orders for vascular (mScarlet) and neuronal (jRGECO1b) AAV vectors:contentReference[oaicite:30]{index=30}"
"TASK027","Milestone: AAV vectors ready for in vivo use","","IMAGING","Milestone","2026-01-15","2026-01-15","0","Aaron","Planned","High","TASK026","Viral vectors (mScarlet, jRGECO1b) received from core; begin animal injections:contentReference[oaicite:31]{index=31}"
"TASK028","Complete written proposal draft (for committee)","","PROPOSAL","Proposal Draft","2025-11-15","2025-12-15","31","Aaron","Planned","High","TASK009","Write full proposal document (≈13 pages) including aims and research strategy:contentReference[oaicite:32]{index=32}"
"TASK029","Milestone: Send proposal to committee (≥2 weeks before exam)","","PROPOSAL","Committee Milestone","2025-12-16","2025-12-16","0","Aaron","Planned","High","TASK028,TASK010","Proposal document emailed to committee (satisfies 2-week pre-exam requirement):contentReference[oaicite:33]{index=33}"
"TASK030","Proposal presentation prep (slides & practice talks)","","PROPOSAL","Presentation Prep","2026-01-04","2026-01-18","15","Aaron","Planned","High","TASK029","Prepare slide deck and rehearse oral exam; aim for two practice runs with lab mates:contentReference[oaicite:34]{index=34}"
"TASK031","Oral PhD Proposal Exam (Qualifying Exam)","","PROPOSAL","Committee Milestone","2026-01-20","2026-01-20","0","Aaron","Planned","High","TASK030","Dissertation proposal defense (oral exam) with committee:contentReference[oaicite:35]{index=35}"
"TASK032","Address committee feedback on proposal","","PROPOSAL","Document Revision","2026-01-21","2026-01-28","8","Aaron","Planned","High","TASK031","Incorporate committee’s revisions; finalize proposal and submit signed approval form:contentReference[oaicite:36]{index=36}"
"TASK033","Apply for TA position (Fall 2026 term)","","ADMIN","Application","2026-06-01","2026-06-15","15","Aaron","Planned","Medium","","Submit TA application (department TA assignment process opens in June for fall):contentReference[oaicite:37]{index=37}"
"TASK034","Teaching Assignment – Serve as TA (Fall 2026)","","ADMIN","Teaching Assignment","2026-08-25","2026-12-10","108","Aaron","Planned","Medium","TASK033","Fulfill TA requirement by serving as a teaching assistant for one semester:contentReference[oaicite:38]{index=38}"
"TASK035","Cranial window surgery + AAV injection – Pilot Mouse #1","","IMAGING","Surgery","2026-02-01","2026-02-01","1","Aaron","Planned","High","TASK015,TASK027","First pilot animal: install cranial window and inject AAV (start expression clock)"
"TASK036","Post-op recovery – Pilot Mouse #1 (no imaging)","TASK035","IMAGING","Post-Op Care","2026-02-02","2026-02-05","4","Aaron","Planned","High","TASK035","Monitor and medicate Mouse #1 after surgery; no imaging during recovery period"
"TASK037","Cranial window surgery + AAV injection – Pilot Mouse #2","","IMAGING","Surgery","2026-02-08","2026-02-08","1","Aaron","Planned","High","TASK039","Second pilot animal: surgery and AAV injection (staggered one week after #1)"
"TASK038","Post-op recovery – Pilot Mouse #2 (no imaging)","TASK037","IMAGING","Post-Op Care","2026-02-09","2026-02-12","4","Aaron","Planned","High","TASK037","Monitor and medicate Mouse #2; maintain analgesia schedule"
"TASK039","Cranial window surgery + AAV injection – Pilot Mouse #3","","IMAGING","Surgery","2026-02-15","2026-02-15","1","Aaron","Planned","High","TASK040","Third pilot animal: surgery and AAV injection (staggered further)"
"TASK040","Post-op recovery – Pilot Mouse #3 (no imaging)","TASK039","IMAGING","Post-Op Care","2026-02-16","2026-02-19","4","Aaron","Planned","High","TASK039","Monitor and medicate Mouse #3 post-surgery"
"TASK041","Pilot imaging session #1 (AAV vs dye)","","IMAGING","Imaging Session","2026-02-22","2026-02-23","2","Aaron","Planned","High","TASK036","Acquire in vivo images for Mouse #1: compare vascular AAV fluorescence vs traditional dye injection"
"TASK042","Pilot imaging session #2 (AAV vs dye)","","IMAGING","Imaging Session","2026-03-01","2026-03-02","2","Aaron","Planned","High","TASK038","Acquire in vivo images for Mouse #2 under dual-label vs dye conditions"
