Task ID,Task Name,Parent Task ID,Category,Start Date,Due Date,Dependencies,Description
BG,PhD Dissertation & Defense,,DISSERTATION,2026-12-01,2027-08-15,V,Complete dissertation write-up; final defense; and all graduation requirements by Summer 2027.
BI,Draft Introduction,BG,DISSERTATION,2025-10-01,2026-02-28,V,Write dissertation Introduction chapter including literature review and study rationale for PhD thesis.
BJ,Draft Aim 1 chapter,BG,DISSERTATION,2026-01-01,2026-04-30,V,Write chapter detailing Aim 1 (AAV imaging) methods; experiments; and results for dissertation.
BK,Draft Aim 2 chapter,BG,DISSERTATION,2026-02-01,2026-05-31,V,Write chapter detailing Aim 2 (dual-color imaging platform) methods and results for dissertation.
BL,Draft Aim 3 chapter,BG,DISSERTATION,2026-03-01,2026-06-30,V,Write chapter detailing Aim 3 (stroke model imaging study) methods; data; and findings for dissertation.
BM,Draft Conclusions,BG,DISSERTATION,2026-04-01,2026-07-31,V,Write final dissertation chapter summarizing findings; implications; and future research directions.
BN,Dissertation draft complete,BG,DISSERTATION,2026-08-01,2026-08-31,"BJ,BK,BL,BM",MILESTONE: Complete PhD dissertation draft compiled and ready for committee review.
BS,PhD Defense,BG,DISSERTATION,2027-01-15,2027-01-17,BN,Defend PhD dissertation in oral exam with committee (must occur ≥2 weeks before final submission deadline).
BT,Revise dissertation,BG,DISSERTATION,2027-01-18,2027-03-31,BS,Incorporate committee feedback and revisions after defense. Obtain final approval signatures.
BU,Submit dissertation,BG,DISSERTATION,2027-04-01,2027-04-15,BT,Upload approved dissertation PDF and submit all required forms to Graduate School by deadline.
M,Plan imaging cohort,,IMAGING,2026-01-01,2026-01-15,B,Plan ~3 pilot mice cohort with IACUC protocol confirmation and surgery slot booking.
P,Design AAV vectors,,IMAGING,2026-01-16,2026-02-15,M,Design and order AAV-mScarlet (vascular) and jRGECO1b (neuronal) vectors. Finalize constructs and submit production orders to core facility.
Q,AAV vectors ready,,IMAGING,2026-02-16,2026-02-28,P,MILESTONE: AAV vectors received from core facility. Ready for in vivo animal injections to begin expression studies.
W,Cranial window surgery #1,,IMAGING,2026-03-01,2026-03-05,"L,Q",Install cranial window and inject AAV in first pilot mouse. Begin expression timeline for vascular labeling.
Z,Post-op recovery #1,,IMAGING,2026-03-06,2026-03-12,W,Monitor and medicate Mouse #1 after surgery. No imaging during recovery period to allow healing.
AA,Cranial window surgery #2,,IMAGING,2026-03-13,2026-03-17,W,Install cranial window and inject AAV in second pilot mouse (staggered one week after #1).
AB,Post-op recovery #2,,IMAGING,2026-03-18,2026-03-24,AA,Monitor and medicate Mouse #2 after surgery. Maintain analgesia schedule during recovery.
AC,Cranial window surgery #3,,IMAGING,2026-03-25,2026-03-29,AA,Install cranial window and inject AAV in third pilot mouse (further staggered timing).
AD,Post-op recovery #3,,IMAGING,2026-03-30,2026-04-05,AC,Monitor and medicate Mouse #3 after surgery. Complete recovery period before imaging.
