Phase,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone,Status,Notes,Category,Priority,Assignee,Resources
Data Management & Analysis,T2.M1,T2.12,Dual-Color Platform Operational,2026-07-15,2026-07-19,Achieve operational status and complete validation of the dual-color imaging platform,Critical,not started,Complete dual-color platform validation,Platform Development,Critical,Student,Imaging Platform
Data Management & Analysis,T2.M2,T2.26,Data Acquisition Complete,2026-12-06,2026-12-13,Complete all planned imaging studies and data collection for comprehensive analysis,Critical,not started,Complete all planned imaging studies,Data Collection,Critical,Student,Imaging Equipment
Aim 1 - AAV-based Vascular Imaging,T2.1,,Plan Pilot Mice Cohort,2025-10-14,2025-10-18,Plan pilot mouse cohort with IACUC protocol confirmation and surgery scheduling,false,not started,Plan pilot cohort with IACUC approval,Research Planning,High,Student,IACUC
Aim 1 - AAV-based Vascular Imaging,T2.2,T2.1,Design & Order AAV Vectors,2025-10-21,2025-11-04,Design and order AAV vectors for vascular and neuronal labeling,false,not started,Design and order AAV vectors,Research Planning,High,Student,AAV Vendor
Aim 1 - AAV-based Vascular Imaging,T2.3,T2.2,Receive AAV Vectors,2025-12-20,2026-01-17,Receive AAV vectors and prepare for in vivo injections,false,not started,Receive and prepare AAV vectors,Research Planning,High,Student,AAV Vendor
Aim 1 - AAV-based Vascular Imaging,T2.4,T2.3,Install Cranial Windows & Inject AAV,2026-02-01,2026-02-26,Perform cranial window surgeries and AAV injections in pilot mice cohort,false,not started,Perform cranial window surgeries and AAV injections,Research Execution,High,Student,Surgery Equipment
Aim 1 - AAV-based Vascular Imaging,T2.5,T2.4,Monitor & Medicate Mice,2026-02-27,2026-03-25,Monitor post-operative recovery and maintain appropriate analgesia,false,not started,Monitor post-operative recovery,Research Execution,High,Student,Animal Care
Aim 1 - AAV-based Vascular Imaging,T2.6,T2.5,Acquire In Vivo Images,2026-03-28,2026-04-15,Acquire in vivo two-photon images comparing AAV and dye labeling methods,false,not started,Acquire in vivo two-photon images,Data Collection,High,Student,Imaging Equipment
Aim 1 - AAV-based Vascular Imaging,T2.7,T2.6,Complete Pilot Datasets,2026-04-16,2026-04-22,Complete comprehensive two-photon imaging datasets from pilot cohort,false,not started,Complete pilot imaging datasets,Data Collection,High,Student,Imaging Equipment
Aim 1 - AAV-based Vascular Imaging,T2.8,T2.6,Process Pilot Data,2026-04-21,2026-04-28,Process pilot imaging data and optimize imaging protocols,false,not started,Process pilot data and optimize protocols,Data Analysis,High,Student,Analysis Software
Aim 2 - Dual-channel Imaging Platform,T2.9,T2.8,Design U-Net Architecture,2026-05-01,2026-05-15,Design U-Net architecture and prepare training datasets for vascular segmentation,false,not started,Design U-Net architecture for segmentation,Platform Development,High,Student,ML Tools
Aim 2 - Dual-channel Imaging Platform,T2.10,T2.9,Implement U-Net Pipeline,2026-05-28,2026-06-25,Implement and validate U-Net segmentation pipeline on pilot data,false,not started,Implement and validate U-Net pipeline,Platform Development,High,Student,ML Tools
Aim 2 - Dual-channel Imaging Platform,T2.11,T2.7,Configure Dual-Channel Imaging,2026-04-19,2026-05-10,Configure dual-channel two-photon imaging system with spectral separation,false,not started,Configure dual-channel imaging system,Platform Development,High,Student,Imaging Equipment
Aim 2 - Dual-channel Imaging Platform,T2.12,T2.11,Configure LSCI,2026-05-18,2026-06-20,Configure Laser Speckle Contrast Imaging for blood flow measurements,false,not started,Configure LSCI for blood flow measurements,Platform Development,High,Student,Imaging Equipment
Aim 2 - Dual-channel Imaging Platform,T2.13,T2.7,Design Enhanced AAV,2026-04-19,2026-07-15,Design and order enhanced AAV vectors for improved dual-label imaging,false,not started,Design enhanced AAV vectors,Research Planning,High,Student,AAV Vendor
