Phase,Sub-Phase,Category,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone,Priority,Status,Source
1,PhD Proposal,PROPOSAL,T1.1,,Draft timeline v1 for Tuesday review; bring printed and digital copies,2025-08-29,2025-09-02,Draft comprehensive timeline for advisor review with printed and digital copies,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.2,,Develop 1-page Specific Aims and detailed outline following BME format requirements for PhD proposal,2025-09-02,2025-09-08,Develop comprehensive proposal outline following BME format requirements for committee review,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.3,T1.2,Submit proposal outline to advisor before Monday deadline,2025-09-05,2025-09-09,Submit detailed proposal outline to advisor for review and approval,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.4,,Define proposal committee and confirm availability; schedule oral exam date,2025-09-10,2025-09-14,Identify committee members and confirm availability for oral exam scheduling,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.5,,Write 12-page Research Strategy from outline per BME guidelines,2025-09-15,2025-09-25,Write comprehensive Research Strategy section following BME format requirements,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.6,T1.4,Confirm oral exam date scheduled; must send final proposal to committee ≥2 weeks prior,2025-09-28,2025-10-05,Confirm oral exam date and ensure committee receives proposal with sufficient notice,false,Critical,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.7,,Write 1-page Specific Aims and 12-page Research Strategy sections for proposal,2025-10-28,2025-11-08,Write comprehensive Specific Aims and Research Strategy sections for PhD proposal,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.8,,Write Methods and project timeline sections,2025-11-11,2025-11-18,Write detailed Methods and project timeline sections for proposal,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.9,"T1.8,T1.14",Complete full proposal document (~13 pages) with proper formatting and submit for review,2025-12-01,2025-12-07,Complete comprehensive proposal document with proper formatting for committee review,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.10,"T1.9,T1.6",Email proposal to committee ≥2 weeks before exam,2025-11-28,2025-12-05,Distribute final proposal to committee members with sufficient advance notice,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.11,T1.10,Create slide deck and practice oral exam presentation,2025-12-08,2025-12-18,Create comprehensive presentation and practice oral exam delivery,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.12,T1.M1,Incorporate committee revisions into proposal and submit signed approval form,2025-12-23,2026-01-06,Address committee feedback and obtain final approval for proposal,false,High,Not Started,data.cleaned.csv
1,Laser System,EQUIPMENT,T1.13,,Align seed laser to reach ≥30 mW output in fiber core (pre-pump),2025-09-02,2025-09-06,Align seed laser to achieve ≥30 mW output in fiber core for pre-pump optimization,false,High,Not Started,data.cleaned.csv
1,Laser System,EQUIPMENT,T1.14,T1.13,Restore amplified output to ≥130 mW (previous benchmark performance level),2025-09-09,2025-09-16,Restore amplified laser output to ≥130 mW benchmark performance level,false,High,Not Started,data.cleaned.csv
1,Laser System,EQUIPMENT,T1.15,T1.14,Verify ≤200 fs pulse duration and log specifications,2025-10-01,2025-10-07,Verify pulse compression to ≤200 fs duration and document specifications,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.16,T1.15,Align imaging system using USAF target for optimal resolution before in vivo experiments,2025-10-08,2025-10-14,Align imaging system using USAF target for optimal resolution validation,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.17,T1.16,Confirm laser and optics meet live imaging requirements,2025-10-15,2025-10-21,Validate laser and optics system meets live imaging performance requirements,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.18,T1.16,Align laser through microscope optics,2025-09-26,2025-09-30,Align laser beam through microscope optical system,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.19,T1.18,Image Air Force target to validate resolution,2025-10-01,2025-10-05,Image USAF target to validate optical resolution performance,false,High,Not Started,data.cleaned.csv
1,Microscope Setup,EQUIPMENT,T1.20,T1.19,Acquire preliminary 6-panel tiled image in vivo,2025-10-07,2025-10-11,Acquire preliminary in vivo imaging data with 6-panel tiled configuration,false,High,Not Started,data.cleaned.csv
1,Committee Management,ADMIN,T1.21,,Submit annual progress report (due early September),2025-09-03,2025-09-07,Submit annual progress review report to department,false,High,Not Started,data.cleaned.csv
1,Committee Management,ADMIN,T1.22,,Update committee membership if needed and file Request for Change in Doctoral Committee form,2025-09-13,2025-09-23,Update committee membership and file necessary change forms if required,false,Medium,Not Started,data.cleaned.csv
1,Committee Management,ADMIN,T1.23,,Ensure doctoral candidacy status is confirmed (should already be completed by 5th year),2025-09-06,2025-09-30,Verify and confirm doctoral candidacy status,false,High,Not Started,data.cleaned.csv
1,PhD Proposal,PROPOSAL,T1.M1,"T1.11,T1.22",PhD Proposal Exam - Defend proposal in oral examination,2025-12-19,2025-12-22,Successfully defend PhD proposal in oral examination before committee,true,Critical,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.1,T1.5,Plan ~3 pilot mice cohort with IACUC protocol confirmation and surgery slot booking,2025-10-14,2025-10-18,Plan pilot mouse cohort with IACUC protocol confirmation and surgery scheduling,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.2,T2.1,Design and order AAV-mScarlet (vascular) and jRGECO1b (neuronal) vectors,2025-10-21,2025-11-04,Design and order AAV vectors for vascular and neuronal labeling,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.3,T2.2,Receive AAV vectors and prepare for injections,2025-12-20,2026-01-17,Receive AAV vectors and prepare for in vivo injections,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.4,"T1.17,T2.3,T1.12",Install cranial windows and inject AAV in three pilot mice with staggered timing,2026-02-01,2026-02-26,Perform cranial window surgeries and AAV injections in pilot mice cohort,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.5,T2.4,Monitor and medicate mice; maintain analgesia schedule,2026-02-27,2026-03-25,Monitor post-operative recovery and maintain appropriate analgesia,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.6,T2.5,Acquire in vivo images for all three mice comparing AAV fluorescence vs traditional dye injection methods,2026-03-28,2026-04-15,Acquire in vivo two-photon images comparing AAV and dye labeling methods,false,High,Not Started,data.cleaned.csv
2,Aim 1 - AAV-based Vascular Imaging,RESEARCH,T2.7,T2.6,Complete 3 pilot two-photon datasets,2026-04-16,2026-04-22,Complete comprehensive two-photon imaging datasets from pilot cohort,false,High,Not Started,data.cleaned.csv
