Phase,Sub-Phase,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone
Phase 1,PhD Proposal,T1.0,-,Meet with Advisor to Finalize Revised Timeline,09/09/25,09/13/25,Finalize revised timeline with advisor.,
Phase 1,Laser System,T1.1,T1.0,Laser System Build & Alignment,09/09/25,09/14/25,Align seed laser and build pump amplifier.,
Phase 1,Laser System,T1.2,T1.1,Characterize Laser Output,09/15/25,09/25/25,Characterize laser power spectrum and pulse. Laser System Operational.,
Phase 1,Microscope,T1.3,T1.2,Align Laser Through Microscope,09/26/25,09/30/25,Align laser through microscope optics.,
Phase 1,Microscope,T1.4,T1.3,Image Air Force Target,10/01/25,10/05/25,Image Air Force target to validate resolution.,
Phase 1,Microscope,T1.5,T1.4,Preliminary In Vivo Imaging,10/07/25,10/11/25,Acquire preliminary 6-panel tiled image in vivo.,
Phase 1,PhD Proposal,T1.6,T1.0,Condense Proposal Draft,10/14/25,10/25/25,Write 12-page Research Strategy with preliminary data.,
Phase 1,PhD Proposal,T1.7,T1.6,Finalize Proposal & Schedule,10/28/25,11/08/25,Finalize draft and schedule defense with committee.,
Phase 1,PhD Proposal,T1.8,T1.7,Send Proposal to Committee,11/12/25,12/01/25,Distribute proposal to committee.,
Phase 1,PhD Proposal,T1.9,T1.8,Create Proposal Presentation,12/01/25,12/16/25,Create a presentation for oral defense.,
Phase 1,PhD Proposal,T1.M1,T1.9,PhD Proposal Defense,12/16/25,12/16/25,Defend PhD proposal.,TRUE
Phase 1,PhD Proposal,T1.10,T1.M1,Submit Final Proposal Document,12/17/25,12/20/25,Submit Final Proposal Document to Achieve Candidacy,
Phase 2,Aim 1 (Prep & Execution),T2.1,T1.7,Aim 1: Prep & Execution,12/17/25,05/02/26,Procure AAVs optimize surgery inject cohort 1 perform imaging. Aim 1 Data Acquired.,
Phase 2,Aim 1 (Analysis),T2.2,T2.1,Aim 1: Data Analysis,05/05/26,06/06/26,Process and analyze all tiled imaging data from cohort 1. Aim 1 Analysis Complete.,
Phase 2,Aim 2 (Platform Build),T2.3,T2.2,Aim 2: Platform Build,06/09/26,07/18/26,Build dual-color detection path & develop analysis software.,
Phase 2,Aim 2 (Platform Build),T2.M1,T2.3,Dual-Color Platform Operational,07/18/26,07/18/26,Dual-Color Platform Operational.,TRUE
Phase 2,Aim 3 (Prep & Execution),T2.4,T2.M1,Aim 3: Prep & Execution,07/21/26,10/31/26,Establish stroke model perform longitudinal imaging. Aim 3 Data Acquired.,
Phase 2,Aim 3 (Analysis),T2.5,T2.4,Aim 3: Data Analysis,11/03/26,12/19/26,Analyze longitudinal stroke data using SLAVV-T methods. Aim 3 Analysis Complete.,
Phase 3,Publication,T3.1,T2.2,Draft & Submit Aim 1 Manuscript,06/09/26,08/08/26,Submit MS on tiled comparison of AAV rhodamine & Texas Red.,
Phase 3,Publication,T3.2,T2.5,Develop SLAVV-T Codebase,08/11/26,11/10/26,Develop improved codebase for temporal analysis (parallel to Aim 3).,
Phase 3,Publication,T3.3,T3.2,Draft & Submit SLAVV-T Manuscript,12/22/26,02/20/27,Submit MS on SLAVV-T an improved temporal analysis method.,
Phase 3,Publication,T3.4,T2.5,Draft & Submit Aim 2/3 Manuscript,02/23/27,04/22/27,Submit primary biological MS on chronic imaging in stroke.,
Phase 3,Publication,T3.5,-,Bonus: AR Vascular Platform,08/01/26,12/31/27,Develop AR platform and draft methods paper.,
Phase 4,Dissertation,T4.1,T2.5,Draft Dissertation Chapters,01/01/27,05/15/27,Write all dissertation chapters in parallel with final manuscript prep.,
Phase 4,Dissertation,T4.M1,T4.1,Complete Dissertation Draft,05/16/27,05/16/27,Complete dissertation draft for committee review.,TRUE
Phase 4,Dissertation,T4.2,T4.M1,Final Revisions,05/17/27,06/30/27,Incorporate final committee revisions.,
Phase 4,Dissertation,T4.M2,T4.2,PhD Defense,07/15/27,07/15/27,Defend PhD dissertation.,TRUE
Phase 4,Dissertation,T4.3,T4.M2,Final Submission,07/16/27,07/31/27,Submit final dissertation.,
