Phase,Sub-Phase,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone
Phase 1,PhD Proposal,T1.0,-,Meet with Advisor to Finalize Revised Timeline,09/09/25,09/13/25,Finalize revised timeline with advisor.,
Phase 1,Laser System,T1.1,T1.0,Laser System Build & Alignment,09/09/25,09/14/25,Align seed laser and build pump amplifier.,
Phase 1,Laser System,T1.2,T1.1,Characterize Laser Output,09/15/25,09/25/25,Characterize laser power spectrum and pulse. Laser System Operational.,
Phase 1,Microscope,T1.3,T1.2,Align Laser Through Microscope,09/26/25,09/30/25,Align laser through microscope optics.,
Phase 1,Microscope,T1.4,T1.3,Image Air Force Target,10/01/25,10/05/25,Image Air Force target to validate resolution.,
Phase 1,Microscope,T1.5,T1.4,Preliminary In Vivo Imaging,10/07/25,10/11/25,Acquire preliminary 6-panel tiled image in vivo.,
Phase 1,PhD Proposal,T1.6,T1.0,Condense Proposal Draft,10/14/25,10/25/25,Write 12-page Research Strategy with preliminary data.,
Phase 1,PhD Proposal,T1.7,T1.6,Finalize Proposal & Schedule,10/28/25,11/08/25,Finalize draft and schedule defense with committee.,
Phase 1,PhD Proposal,T1.8,T1.7,Send Proposal to Committee,11/12/25,12/01/25,Distribute proposal to committee.,
Phase 1,PhD Proposal,T1.9,T1.8,Create Proposal Presentation,12/01/25,12/16/25,Create a presentation for oral defense.,
Phase 1,PhD Proposal,T1.M1,T1.9,PhD Proposal Defense,12/16/25,12/16/25,Defend PhD proposal.,TRUE
Phase 1,PhD Proposal,T1.10,T1.M1,Submit Final Proposal Document,12/17/25,12/20/25,Submit Final Proposal Document to Achieve Candidacy,
Phase 2,Aim 1 (Prep),T2.1,T1.7,Procure AAVs (AAV-CaMP6s AAV-tdTomato),12/17/25,01/15/26,Procure AAV-CaMP6s and AAV-tdTomato.,
Phase 2,Aim 1 (Prep),T2.2,T1.2,Optimize Cranial Window Surgery Technique,12/20/25,02/15/26,Optimize Cranial Window Surgery Technique.,
Phase 2,Aim 1 (Execution),T2.3,"T2.1, T2.2",Viral Injections & Window Implantation (Cohort 1),02/18/26,03/15/26,Perform viral injections and window implantation in Cohort 1.,
Phase 2,Aim 1 (Execution),T2.4,T2.3,AAV Expression Period,03/18/26,04/15/26,Allow sufficient time for AAV expression.,
Phase 2,Aim 1 (Execution),T2.5,"T2.4, T1.2",Two-Photon Imaging Data Acquisition,04/18/26,05/02/26,Acquire two-photon imaging data.,
Phase 2,Aim 1 (Analysis),T2.6,T2.5,Image Analysis,05/05/26,06/06/26,Process and analyze all tiled imaging data from cohort 1.,
Phase 2,Aim 2 (Platform Build),T2.7,T2.6,Assemble Dual-Color Detection Path,06/09/26,06/30/26,Assemble a dual-color detection path.,
Phase 2,Aim 2 (Platform Build),T2.8,T2.6,Develop Analysis Software (Spectral Unmixing),07/01/26,07/10/26,Develop analysis software including spectral unmixing capabilities.,
Phase 2,Aim 2 (Platform Build),T2.9,T2.7,Validate Platform with Fluorescent Beads,07/11/26,07/15/26,Validate the platform using fluorescent beads.,
Phase 2,Aim 2 (Platform Build),T2.10,T2.9,In Vivo Validation with AAV-expressing mice,07/16/26,07/18/26,Achieve operational status of the dual-color platform.,
Phase 2,Aim 2 (Platform Build),T2.M1,T2.10,Dual-Color Platform Operational,07/18/26,07/18/26,Dual-Color Platform Operational.,TRUE
Phase 2,Aim 3 (Prep),T2.11,T2.M1,Establish Photothrombotic Stroke Model,07/21/26,08/15/26,Establish a Photothrombotic Stroke Model,
Phase 2,Aim 3 (Prep),T2.12,T2.11,Viral Injections & Implantation (Cohort 2),08/18/26,09/05/26,Perform viral injections and implantations in Cohort 2.,
Phase 2,Aim 3 (Execution),T2.13,T2.12,Pre-Stroke Baseline Imaging,09/08/26,09/25/26,Obtain Pre-Stroke Baseline Imaging,
Phase 2,Aim 3 (Execution),T2.14,T2.13,Induce Stroke & Longitudinal Imaging,09/28/26,10/31/26,Acquire the core dataset by inducing stroke and performing longitudinal imaging.,
Phase 2,Aim 3 (Analysis),T2.15,T2.14,Data Analysis (using SLAVV-T),11/03/26,12/19/26,Analyze longitudinal stroke data using SLAVV-T methods.,
Phase 3,Publication,T3.1,T2.6,Draft Aim 1 Manuscript,06/09/26,07/15/26,Draft the Aim 1 manuscript.,
Phase 3,Publication,T3.2,T3.1,Submit Aim 1 Manuscript,07/16/26,08/08/26,Submit MS on tiled comparison of AAV rhodamine & Texas Red.,
Phase 3,Publication,T3.3,T2.6,Develop SLAVV-T Codebase,08/11/26,11/10/26,Develop improved codebase for temporal analysis.,
Phase 3,Publication,T3.4,T3.3,Draft SLAVV-T Manuscript,11/11/26,12/21/26,Draft SLAVV-T manuscript.,
Phase 3,Publication,T3.5,T3.4,Submit SLAVV-T Manuscript,12/22/26,02/20/27,Submit MS on SLAVV-T an improved temporal analysis method.,
Phase 3,Publication,T3.6,T2.15,Draft Aim 2/3 Manuscript,02/23/27,03/25/27,Draft primary biological MS on chronic imaging in stroke.,
Phase 3,Publication,T3.7,T3.6,Submit Aim 2/3 Manuscript,03/26/27,04/22/27,Submit primary biological MS on chronic imaging in stroke.,
Phase 3,Publication,T3.8,-,Bonus: AR Vascular Platform,08/01/26,12/31/27,Develop AR platform and draft methods paper.,
Phase 4,Dissertation,T4.1,T2.15,Draft Dissertation Introduction & Methods,01/01/27,02/15/27,Complete the draft of the dissertation introduction and methods.,
Phase 4,Dissertation,T4.2,T3.2,Draft Aim 1 Chapter,02/16/27,03/15/27,Draft Aim 1 Chapter utilizing the completed manuscript.,
Phase 4,Dissertation,T4.3,T3.7,Draft Aim 2/3 Chapter,03/16/27,04/15/27,Draft Aim 2/3 Chapter utilizing the completed manuscript.,
Phase 4,Dissertation,T4.4,T4.3,Draft Dissertation Conclusions,04/16/27,05/15/27,Draft Dissertation Conclusions.,
Phase 4,Dissertation,T4.M1,T4.4,Complete Dissertation Draft,05/16/27,05/16/27,Complete dissertation draft for committee review.,TRUE
Phase 4,Dissertation,T4.5,T4.M1,Final Committee Meeting,05/17/27,05/29/27,Final Committee Meeting.,
Phase 4,Dissertation,T4.6,T4.5,Final Revisions,05/30/27,06/30/27,Incorporate final committee revisions.,
Phase 4,Dissertation,T4.M2,T4.6,PhD Defense,07/15/27,07/15/27,Defend PhD dissertation.,TRUE
Phase 4,Dissertation,T4.7,T4.M2,Final Submission,07/16/27,07/31/27,Submit final dissertation.,
