Phase,Sub-Phase,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone,Status
1,PhD Proposal,T1.M1,"T1.9,T1.22",PhD Proposal Exam - Defend proposal in oral examination,2025-12-19,2025-12-22,Successfully defend PhD proposal in oral examination before committee,Critical,
1,PhD Proposal,T1.0,,Meet with Advisor to Finalize Revised Timeline,2025-09-09,2025-09-13,Finalize revised timeline with advisor,false,Not Started
1,PhD Proposal,T1.1,T1.0,Draft Timeline v1,2025-08-29,2025-09-02,Draft comprehensive timeline for advisor review with printed and digital copies,false,Not Started
1,PhD Proposal,T1.2,T1.0,Develop Specific Aims & Outline,2025-09-02,2025-09-08,Develop comprehensive proposal outline following BME format requirements for committee review,false,Not Started
1,PhD Proposal,T1.3,T1.2,Submit Outline to Advisor,2025-09-05,2025-09-09,Submit detailed proposal outline to advisor for review and approval,false,Not Started
1,PhD Proposal,T1.4,,Define Committee & Schedule Exam,2025-09-10,2025-09-14,Identify committee members and confirm availability for oral exam scheduling,false,Not Started
1,PhD Proposal,T1.5,,Write Research Strategy,2025-09-15,2025-09-25,Write comprehensive Research Strategy section following BME format requirements,false,Not Started
1,PhD Proposal,T1.6,T1.0,Condense Proposal Draft,2025-10-14,2025-10-25,Write 12-page Research Strategy with preliminary data,false,Not Started
1,PhD Proposal,T1.6a,T1.4,Confirm Exam Date,2025-09-28,2025-10-05,Confirm oral exam date and ensure committee receives proposal with sufficient notice,false,Not Started
1,PhD Proposal,T1.7,T1.6,Finalize Proposal & Schedule,2025-10-28,2025-11-08,Finalize draft and schedule defense with committee,false,Not Started
1,PhD Proposal,T1.7a,T1.2,Write Specific Aims & Research Strategy,2025-10-07,2025-10-13,Write comprehensive Specific Aims and Research Strategy sections for PhD proposal,false,Not Started
1,PhD Proposal,T1.8,T1.7,Send Proposal to Committee,2025-11-12,2025-12-01,Distribute proposal to committee,false,Not Started
1,PhD Proposal,T1.8a,,Write Methods & Timeline,2025-11-11,2025-11-18,Write detailed Methods and project timeline sections for proposal,false,Not Started
1,PhD Proposal,T1.9,T1.8,Create Proposal Presentation,2025-12-01,2025-12-16,Create a presentation for oral defense,false,Not Started
1,PhD Proposal,T1.9a,"T1.8a,T1.14",Complete Proposal Document,2025-12-01,2025-12-07,Complete comprehensive proposal document with proper formatting for committee review,High,
1,PhD Proposal,T1.10,T1.M1,Submit Final Proposal Document,2025-12-17,2025-12-20,Submit Final Proposal Document to Achieve Candidacy,false,Not Started
1,PhD Proposal,T1.10a,"T1.9a,T1.6a",Email Proposal to Committee,2025-11-28,2025-12-05,Distribute final proposal to committee members with sufficient advance notice,High,
1,PhD Proposal,T1.11,T1.10,Create Presentation,2025-12-08,2025-12-18,Create comprehensive presentation and practice oral exam delivery,false,Not Started
1,PhD Proposal,T1.12,T1.M1,Incorporate Revisions,2025-12-23,2026-01-06,Address committee feedback and obtain final approval for proposal,false,Not Started
1,Laser System,T1.13,,Align Seed Laser,2025-09-02,2025-09-06,Align seed laser to achieve >=30 mW output in fiber core for pre-pump optimization,false,Not Started
1,Laser System,T1.14,T1.13,Restore Amplified Output,2025-09-09,2025-09-16,Restore amplified laser output to >=130 mW benchmark performance level,false,Not Started
1,Laser System,T1.15,T1.14,Verify Pulse Duration,2025-10-01,2025-10-07,Verify pulse compression to <=200 fs duration and document specifications,false,Not Started
1,Microscope Setup,T1.16,T1.15,Align Imaging System,2025-10-08,2025-10-14,Align imaging system using USAF target for optimal resolution validation,false,Not Started
1,Microscope Setup,T1.17,T1.16,Confirm Live Imaging Requirements,2025-10-15,2025-10-21,Validate laser and optics system meets live imaging performance requirements,false,Not Started
1,Microscope Setup,T1.18,T1.16,Align Laser Through Microscope,2025-09-26,2025-09-30,Align laser beam through microscope optical system,false,Not Started
1,Microscope Setup,T1.19,T1.18,Image USAF Target,2025-10-01,2025-10-05,Image USAF target to validate optical resolution performance,false,Not Started
1,Microscope Setup,T1.20,T1.19,Acquire Preliminary In Vivo Images,2025-10-07,2025-10-11,Acquire preliminary in vivo imaging data with 6-panel tiled configuration,false,Not Started
1,Committee Management,T1.21,,Submit Annual Progress Report,2025-09-03,2025-09-07,Submit annual progress review report to department,false,Not Started
1,Committee Management,T1.22,,Update Committee Membership,2025-09-13,2025-09-23,Update committee membership and file necessary change forms if required,false,Not Started
1,Committee Management,T1.23,,Confirm Doctoral Candidacy,2025-09-06,2025-09-30,Verify and confirm doctoral candidacy status,false,Not Started
